County,Data Year,Population,Z Score
Mendocino           ,2012,88402,-0.2418330356778423
Merced              ,2012,261779,-0.20825767363606093
Modoc               ,2012,9508,-0.2571112710431116
Mono                ,2012,14181,-0.25620632017407335
Monterey            ,2012,422477,-0.17713766619914495
Napa                ,2012,138249,-0.23217990364939173
Nevada              ,2012,98896,-0.23980081774082382
Orange              ,2012,3073792,0.3363033381544057
Placer              ,2012,360512,-0.1891375122509222
Plumas              ,2012,19700,-0.25513753698421204
Riverside           ,2012,2239478,0.17473407229718832
Sacramento,2012,1447519,0.021367073518531843
San Benito  ,2012,56778,-0.24795718853092716
San Bernardino    ,2012,2072061,0.14231289539973993
San Diego           ,2012,3155715,0.3521681551978939
San Francisco,2012,826354,-0.09892477466596275
San Joaquin,2012,699719,-0.12344830415465492
San Luis Obispo     ,2012,272951,-0.2060941574561133
San Mateo           ,2012,735915,-0.1164387596103133
Santa Barbara       ,2012,427960,-0.17607585459740374
Santa Clara         ,2012,1833344,0.09608410091991897
Santa Cruz          ,2012,267492,-0.2071513213324411
Shasta              ,2012,178865,-0.22431440300807834
Sierra              ,2012,3239,-0.2583252956521424
Siskiyou            ,2012,44778,-0.25028105123763783
Solano              ,2012,418963,-0.17781817066176006
Sonoma              ,2012,488601,-0.1643324080642669
Stanislaus          ,2012,521723,-0.15791815968329434
State Total,2012,37904303,7.081413802202395
Sutter              ,2012,94718,-0.24060990927321024
Tehama              ,2012,63202,-0.24671314736193473
Trinity             ,2012,14193,-0.25620399631136664
Tulare              ,2012,449884,-0.17183015743224334
Tuolumne            ,2012,55100,-0.24828214199941553
Ventura             ,2012,835510,-0.09715166742074251
Yolo                ,2012,204087,-0.2194300309090236
Yuba                ,2012,73501,-0.24471869219390027
Alameda             ,2013,1575139,0.04608135340439985
Amador              ,2013,37044,-0.25177878075211285
Butte               ,2013,224391,-0.21549805520926915
Calaveras           ,2013,45499,-0.25014142582000964
Colusa              ,2013,21418,-0.2548048373067013
Contra Costa        ,2013,1090305,-0.04780928422438035
Del Norte,2013,27752,-0.25357822510800915
El Dorado           ,2013,179663,-0.22415986613808206
Fresno              ,2013,953114,-0.07437703827407569
Glenn               ,2013,27914,-0.25354685296146856
Humboldt            ,2013,135810,-0.23265222874453068
Imperial            ,2013,177731,-0.2245340080338625
Inyo                ,2013,18673,-0.25533642090086134
Kern                ,2013,861948,-0.09203181056740778
Kings               ,2013,150004,-0.22990348647294306
Lake                ,2013,65928,-0.24618524321706028
Lassen              ,2013,33564,-0.25245270093705896
Los Angeles ,2013,9995638,1.6767549865706093
Madera              ,2013,150652,-0.2297779978867807
Marin               ,2013,258815,-0.20883166772461847
Mariposa            ,2013,17936,-0.2554791448020985
Mendocino           ,2013,89320,-0.24165526018077893
Merced              ,2013,263501,-0.20792419933764797
Modoc               ,2013,9408,-0.25713063656566754
Mono                ,2013,13865,-0.2562675152253501
Monterey            ,2013,425742,-0.1765053818876941
Napa                ,2013,138808,-0.23207165037830413
Nevada              ,2013,99116,-0.23975821359120078
Orange              ,2013,3105236,0.3423926330668899
Placer              ,2013,365195,-0.18823062482962835
Plumas              ,2013,19345,-0.25520628458928557
Riverside           ,2013,2260809,0.17886493191359212
Sacramento,2013,1461786,0.024129952621585276
San Benito  ,2013,57386,-0.24783944615378714
