Data Year,County,Average PM 2.5/County,Number of Site IDs/County
2010,Alameda,8.16562328390994,5.0
2010,Butte,8.776450511945393,3.0
2010,Calaveras,7.380349344978166,1.0
2010,Colusa,6.054913294797688,1.0
2010,Contra Costa,7.606920415224914,1.0
2010,Del Norte,2.7868686868686865,1.0
2010,El Dorado,2.195901639344262,1.0
2010,Fresno,11.729537572254335,6.0
2010,Glenn,8.38623595505618,1.0
2010,Humboldt,5.903409090909091,2.0
2010,Imperial,9.424737945492664,3.0
2010,Inyo,6.1629870129870135,2.0
2010,Kern,13.420330296127561,6.0
2010,Kings,17.319102749638205,2.0
2010,Lake,3.0754098360655737,1.0
2010,Los Angeles,12.77542764678687,13.0
2010,Madera,20.406306306306305,1.0
2010,Marin,9.302552204176335,2.0
2010,Mariposa,8.1338199513382,2.0
2010,Mendocino,7.134129213483146,2.0
2010,Merced,14.695588235294117,2.0
2010,Mono,1.994059405940594,1.0
2010,Monterey,6.282692307692307,1.0
2010,Napa,8.715702479338843,1.0
2010,Nevada,5.246046511627908,2.0
2010,Orange,12.010404624277456,2.0
2010,Placer,10.32635294117647,1.0
2010,Plumas,9.040344827586207,2.0
2010,Riverside,13.275799354649456,9.0
2010,Sacramento,8.457305194805194,3.0
2010,San Benito,5.172093023255814,2.0
2010,San Bernardino,11.857833787465939,9.0
2010,San Diego,9.018352450469239,8.0
2010,San Francisco,10.505352112676057,1.0
2010,San Joaquin,8.666832298136645,3.0
2010,San Luis Obispo,7.450171037628278,4.0
2010,San Mateo,8.291293532338308,1.0
2010,Santa Barbara,7.149165120593692,3.0
2010,Santa Clara,8.372204125950054,3.0
2010,Santa Cruz,6.479768786127168,1.0
2010,Shasta,4.006462585034014,4.0
2010,Siskiyou,2.833139534883721,2.0
2010,Solano,8.05852417302799,1.0
2010,Sonoma,7.204419889502763,1.0
2010,Stanislaus,12.273900293255132,2.0
2010,Sutter,8.227459618208517,1.0
2010,Tehama,10.142073170731708,1.0
2010,Trinity,2.018918918918919,1.0
2010,Tulare,12.302286902286902,3.0
2010,Ventura,8.626295585412668,4.0
2010,Yolo,7.5549382716049385,2.0
2011,Alameda,9.461790567545965,3.0
2011,Alpine,11.114285714285714,1.0
2011,Butte,11.340146878824969,3.0
2011,Calaveras,9.191117478510028,1.0
2011,Colusa,8.111478260869566,2.0
2011,Contra Costa,8.4584229390681,1.0
2011,Del Norte,3.4198275862068965,1.0
2011,El Dorado,2.5415254237288134,1.0
2011,Fresno,14.723948220064726,6.0
2011,Glenn,8.922063037249284,1.0
2011,Humboldt,7.901197604790419,3.0
2011,Imperial,10.00846325167038,3.0
2011,Inyo,7.3177049180327876,2.0
2011,Kern,13.159707317073172,6.0
2011,Kings,17.097679324894514,2.0
2011,Lake,3.5180327868852457,1.0
2011,Los Angeles,13.869350348027842,14.0
2011,Madera,17.722004357298474,2.0
2011,Marin,9.006928406466512,2.0
2011,Mariposa,7.680597014925373,2.0
2011,Mendocino,8.687146892655367,2.0
2011,Merced,14.873972602739727,2.0
2011,Mono,2.0375,1.0
2011,Monterey,6.060294117647058,1.0
2011,Napa,11.0453125,1.0
2011,Nevada,5.729411764705882,2.0
2011,Orange,12.807021517553794,2.0
2011,Placer,10.410071942446043,1.0
2011,Plumas,11.776975945017181,2.0
2011,Riverside,13.69167883211679,11.0
2011,Sacramento,11.110596546310832,3.0
2011,San Benito,5.2899141630901285,2.0
2011,San Bernardino,12.952217898832684,9.0
2011,San Diego,11.997307335190344,7.0
2011,San Francisco,9.525,1.0
2011,San Joaquin,10.47330538085255,3.0
2011,San Luis Obispo,8.793824404761905,4.0
2011,San Mateo,8.663106796116505,1.0
