Data Year,County,Fuel Category,Number of Vehicles
2011,San Benito,Fossil Fuel,35178
2011,San Bernardino,EV,66
2011,San Bernardino,Fossil Fuel,1122878
2011,San Diego,EV,781
2011,San Diego,Fossil Fuel,1915640
2011,San Francisco,EV,163
2011,San Francisco,Fossil Fuel,353737
2011,San Joaquin,EV,20
2011,San Joaquin,Fossil Fuel,379369
2011,San Luis Obispo,EV,35
2011,San Luis Obispo,Fossil Fuel,178630
2011,San Mateo,EV,339
2011,San Mateo,Fossil Fuel,504776
2011,Santa Barbara,EV,79
2011,Santa Barbara,Fossil Fuel,250966
2011,Santa Clara,EV,861
2011,Santa Clara,Fossil Fuel,1133618
2011,Santa Cruz,EV,50
2011,Santa Cruz,Fossil Fuel,166606
2011,Shasta,EV,9
2011,Shasta,Fossil Fuel,118743
2011,Sierra,EV,0
2011,Sierra,Fossil Fuel,2732
2011,Siskiyou,EV,0
2011,Siskiyou,Fossil Fuel,34630
2011,Solano,EV,24
2011,Solano,Fossil Fuel,255749
2011,Sonoma,EV,78
2011,Sonoma,Fossil Fuel,320561
2011,Stanislaus,EV,17
2011,Stanislaus,Fossil Fuel,288060
2011,Sutter,EV,0
2011,Sutter,Fossil Fuel,56564
2011,Tehama,EV,2
2011,Tehama,Fossil Fuel,37791
2011,Trinity,EV,1
2011,Trinity,Fossil Fuel,10723
2011,Tulare,EV,13
2011,Tulare,Fossil Fuel,227483
2011,Tuolumne,EV,3
2011,Tuolumne,Fossil Fuel,42320
2011,Ventura,EV,155
2011,Ventura,Fossil Fuel,531086
2011,Yolo,EV,33
2011,Yolo,Fossil Fuel,109944
2011,Yuba,EV,2
2011,Yuba,Fossil Fuel,40595
2012,Alameda,EV,1168
2012,Alameda,Fossil Fuel,884729
2012,Alpine,EV,0
2012,Alpine,Fossil Fuel,1011
2012,Amador,EV,8
2012,Amador,Fossil Fuel,30356
2012,Butte,EV,28
2012,Butte,Fossil Fuel,132130
2012,Calaveras,EV,8
2012,Calaveras,Fossil Fuel,39567
2012,Colusa,EV,0
2012,Colusa,Fossil Fuel,14489
2012,Contra Costa,EV,632
2012,Contra Costa,Fossil Fuel,673659
2012,Del Norte,EV,3
2012,Del Norte,Fossil Fuel,15644
2012,El Dorado,EV,68
2012,El Dorado,Fossil Fuel,128462
2012,Fresno,EV,76
2012,Fresno,Fossil Fuel,486872
2012,Glenn,EV,0
2012,Glenn,Fossil Fuel,18733
2012,Humboldt,EV,21
2012,Humboldt,Fossil Fuel,89315
2012,Imperial,EV,4
2012,Imperial,Fossil Fuel,109630
2012,Inyo,EV,2
2012,Inyo,Fossil Fuel,14907
2012,Kern,EV,62
2012,Kern,Fossil Fuel,445574
2012,Kings,EV,3
2012,Kings,Fossil Fuel,69583
2012,Lake,EV,10
2012,Lake,Fossil Fuel,48721
2012,Lassen,EV,1
2012,Lassen,Fossil Fuel,18635
2012,Los Angeles,EV,4734
2012,Los Angeles,Fossil Fuel,5530860
2012,Madera,EV,14
2012,Madera,Fossil Fuel,79537
2012,Marin,EV,316
2012,Marin,Fossil Fuel,173364
2012,Mariposa,EV,2
2012,Mariposa,Fossil Fuel,15427
2012,Mendocino,EV,18
2012,Mendocino,Fossil Fuel,66050
2012,Merced,EV,16
2012,Merced,Fossil Fuel,135154
2012,Modoc,EV,0
2012,Modoc,Fossil Fuel,6317
2012,Mono,EV,0
2012,Mono,Fossil Fuel,9319
2012,Monterey,EV,76
2012,Monterey,Fossil Fuel,243736
2012,Napa,EV,81
2012,Napa,Fossil Fuel,90674
2012,Nevada,EV,19
2012,Nevada,Fossil Fuel,72991
2012,Orange,EV,2175
2012,Orange,Fossil Fuel,1881637
2012,Out Of State,EV,302
2012,Out Of State,Fossil Fuel,480926
2012,Placer,EV,118
2012,Placer,Fossil Fuel,243277
2012,Plumas,EV,1
2012,Plumas,Fossil Fuel,16815
2012,Riverside,EV,445
2012,Riverside,Fossil Fuel,1228399
2012,Sacramento,EV,290
2012,Sacramento,Fossil Fuel,811630
2012,San Benito,EV,14
2012,San Benito,Fossil Fuel,35966
2012,San Bernardino,EV,344
2012,San Bernardino,Fossil Fuel,1132833
2012,San Diego,EV,1967
2012,San Diego,Fossil Fuel,1931167
2012,San Francisco,EV,507
2012,San Francisco,Fossil Fuel,354656
2012,San Joaquin,EV,75
2012,San Joaquin,Fossil Fuel,382646
2012,San Luis Obispo,EV,82
2012,San Luis Obispo,Fossil Fuel,179353
2012,San Mateo,EV,816
2012,San Mateo,Fossil Fuel,510352
2012,Santa Barbara,EV,170
2012,Santa Barbara,Fossil Fuel,252663
2012,Santa Clara,EV,2511
2012,Santa Clara,Fossil Fuel,1140932
2012,Santa Cruz,EV,154
2012,Santa Cruz,Fossil Fuel,167095
2012,Shasta,EV,19
2012,Shasta,Fossil Fuel,117732
2012,Sierra,EV,0
2012,Sierra,Fossil Fuel,2715
2012,Siskiyou,EV,3
2012,Siskiyou,Fossil Fuel,34251
2012,Solano,EV,107
2012,Solano,Fossil Fuel,257811
2012,Sonoma,EV,238
2012,Sonoma,Fossil Fuel,323367
2012,Stanislaus,EV,40
2012,Stanislaus,Fossil Fuel,290325
2012,Sutter,EV,4
2012,Sutter,Fossil Fuel,56491
2012,Tehama,EV,4
2012,Tehama,Fossil Fuel,37842
2012,Trinity,EV,4
2012,Trinity,Fossil Fuel,10633
2012,Tulare,EV,31
2012,Tulare,Fossil Fuel,230802
2012,Tuolumne,EV,7
2012,Tuolumne,Fossil Fuel,41984
2012,Ventura,EV,491
2012,Ventura,Fossil Fuel,534659
2012,Yolo,EV,87
2012,Yolo,Fossil Fuel,109437
2012,Yuba,EV,6
2012,Yuba,Fossil Fuel,40456
2013,Alameda,EV,3622
2013,Alameda,Fossil Fuel,917322
2013,Alpine,EV,2
2013,Alpine,Fossil Fuel,1039
2013,Amador,EV,9
2013,Amador,Fossil Fuel,31461
2013,Butte,EV,69
2013,Butte,Fossil Fuel,135830
2013,Calaveras,EV,27
2013,Calaveras,Fossil Fuel,40843
2013,Colusa,EV,1
2013,Colusa,Fossil Fuel,14997
2013,Contra Costa,EV,1929
2013,Contra Costa,Fossil Fuel,698252
2013,Del Norte,EV,12
2013,Del Norte,Fossil Fuel,15830
2013,El Dorado,EV,212
2013,El Dorado,Fossil Fuel,133050
2013,Fresno,EV,226
2013,Fresno,Fossil Fuel,503427
2013,Glenn,EV,2
2013,Glenn,Fossil Fuel,19061
2013,Humboldt,EV,54
2013,Humboldt,Fossil Fuel,91760
2013,Imperial,EV,15
2013,Imperial,Fossil Fuel,113063
2013,Inyo,EV,6
2013,Inyo,Fossil Fuel,15218
2013,Kern,EV,189
2013,Kern,Fossil Fuel,459264
2013,Kings,EV,11
2013,Kings,Fossil Fuel,71228
2013,Lake,EV,24
2013,Lake,Fossil Fuel,50061
2013,Lassen,EV,1
2013,Lassen,Fossil Fuel,19015
2013,Los Angeles,EV,13869
2013,Los Angeles,Fossil Fuel,5690003
2013,Madera,EV,27
2013,Madera,Fossil Fuel,82070
2013,Marin,EV,946
2013,Marin,Fossil Fuel,178103
2013,Mariposa,EV,5
2013,Mariposa,Fossil Fuel,15908
2013,Mendocino,EV,43
2013,Mendocino,Fossil Fuel,67977
2013,Merced,EV,39
2013,Merced,Fossil Fuel,139433
2013,Modoc,EV,0
2013,Modoc,Fossil Fuel,6404
2013,Mono,EV,1
2013,Mono,Fossil Fuel,9641
2013,Monterey,EV,211
2013,Monterey,Fossil Fuel,251527
2013,Napa,EV,210
2013,Napa,Fossil Fuel,94323
2013,Nevada,EV,52
2013,Nevada,Fossil Fuel,74537
2013,Orange,EV,6114
2013,Orange,Fossil Fuel,1945863
2013,Out Of State,EV,578
2013,Out Of State,Fossil Fuel,493804
2013,Placer,EV,387
2013,Placer,Fossil Fuel,251830
2013,Plumas,EV,3
2013,Plumas,Fossil Fuel,17019
2013,Riverside,EV,1299
2013,Riverside,Fossil Fuel,1276953
2013,Sacramento,EV,1002
2013,Sacramento,Fossil Fuel,839193
2013,San Benito,EV,45
2013,San Benito,Fossil Fuel,37438
2013,San Bernardino,EV,1003
2013,San Bernardino,Fossil Fuel,1167485
2013,San Diego,EV,4448
2013,San Diego,Fossil Fuel,2003012
2013,San Francisco,EV,1313
2013,San Francisco,Fossil Fuel,368001
2013,San Joaquin,EV,218
2013,San Joaquin,Fossil Fuel,395126
2013,San Luis Obispo,EV,251
2013,San Luis Obispo,Fossil Fuel,185467
2013,San Mateo,EV,2441
2013,San Mateo,Fossil Fuel,529074
2013,Santa Barbara,EV,414
2013,Santa Barbara,Fossil Fuel,260928
2013,Santa Clara,EV,7816
2013,Santa Clara,Fossil Fuel,1178520
2013,Santa Cruz,EV,546
2013,Santa Cruz,Fossil Fuel,172542
2013,Shasta,EV,52
2013,Shasta,Fossil Fuel,121390
2013,Sierra,EV,0
2013,Sierra,Fossil Fuel,2779
2013,Siskiyou,EV,9
2013,Siskiyou,Fossil Fuel,35257
2013,Solano,EV,325
2013,Solano,Fossil Fuel,267275
2013,Sonoma,EV,756
2013,Sonoma,Fossil Fuel,334893
2013,Stanislaus,EV,108
2013,Stanislaus,Fossil Fuel,298876
2013,Sutter,EV,10
2013,Sutter,Fossil Fuel,58343
2013,Tehama,EV,6
2013,Tehama,Fossil Fuel,39408
2013,Trinity,EV,3
2013,Trinity,Fossil Fuel,10822
2013,Tulare,EV,62
2013,Tulare,Fossil Fuel,238536
2013,Tuolumne,EV,12
2013,Tuolumne,Fossil Fuel,43389
2013,Ventura,EV,1139
2013,Ventura,Fossil Fuel,548331
2013,Yolo,EV,259
2013,Yolo,Fossil Fuel,114271
2013,Yuba,EV,18
2013,Yuba,Fossil Fuel,41654
2014,Alameda,EV,8304
2014,Alameda,Fossil Fuel,945024
2014,Alpine,EV,5
2014,Alpine,Fossil Fuel,1713
2014,Amador,EV,21
2014,Amador,Fossil Fuel,32377
2014,Butte,EV,134
2014,Butte,Fossil Fuel,138086
2014,Calaveras,EV,40
2014,Calaveras,Fossil Fuel,41952
2014,Colusa,EV,4
2014,Colusa,Fossil Fuel,15222
2014,Contra Costa,EV,4233
2014,Contra Costa,Fossil Fuel,715671
2014,Del Norte,EV,19
2014,Del Norte,Fossil Fuel,15688
2014,El Dorado,EV,460
2014,El Dorado,Fossil Fuel,135913
2014,Fresno,EV,740
2014,Fresno,Fossil Fuel,516116
2014,Glenn,EV,4
2014,Glenn,Fossil Fuel,19540
2014,Humboldt,EV,221
2014,Humboldt,Fossil Fuel,93068
2014,Imperial,EV,27
2014,Imperial,Fossil Fuel,117294
2014,Inyo,EV,9
2014,Inyo,Fossil Fuel,15352
2014,Kern,EV,414
2014,Kern,Fossil Fuel,471196
2014,Kings,EV,23
2014,Kings,Fossil Fuel,72538
2014,Lake,EV,56
2014,Lake,Fossil Fuel,51366
2014,Lassen,EV,5
2014,Lassen,Fossil Fuel,19019
2014,Los Angeles,EV,28696
2014,Los Angeles,Fossil Fuel,5816774
2014,Madera,EV,85
2014,Madera,Fossil Fuel,84033
2014,Marin,EV,1866
2014,Marin,Fossil Fuel,180602
2014,Mariposa,EV,11
2014,Mariposa,Fossil Fuel,16172
2014,Mendocino,EV,130
2014,Mendocino,Fossil Fuel,69253
2014,Merced,EV,91
2014,Merced,Fossil Fuel,143703
2014,Modoc,EV,0
2014,Modoc,Fossil Fuel,6562
2014,Mono,EV,6
2014,Mono,Fossil Fuel,9677
2014,Monterey,EV,509
2014,Monterey,Fossil Fuel,259198
2014,Napa,EV,423
2014,Napa,Fossil Fuel,95647
2014,Nevada,EV,113
2014,Nevada,Fossil Fuel,76068
2014,Orange,EV,12690
2014,Orange,Fossil Fuel,1991231
2014,Out Of State,EV,956
2014,Out Of State,Fossil Fuel,507906
2014,Placer,EV,882
2014,Placer,Fossil Fuel,258140
2014,Plumas,EV,6
2014,Plumas,Fossil Fuel,17236
2014,Riverside,EV,2933
2014,Riverside,Fossil Fuel,1317751
2014,Sacramento,EV,2229
2014,Sacramento,Fossil Fuel,863881
2014,San Benito,EV,99
2014,San Benito,Fossil Fuel,38532
2014,San Bernardino,EV,2295
2014,San Bernardino,Fossil Fuel,1201860
2014,San Diego,EV,8186
2014,San Diego,Fossil Fuel,2045488
2014,San Francisco,EV,2618
2014,San Francisco,Fossil Fuel,373808
2014,San Joaquin,EV,537
2014,San Joaquin,Fossil Fuel,409085
2014,San Luis Obispo,EV,476
2014,San Luis Obispo,Fossil Fuel,189554
2014,San Mateo,EV,4491
2014,San Mateo,Fossil Fuel,545796
2014,Santa Barbara,EV,755
