County,Data Year,Total Population,Total Population Z Score,Number of Gas Cars,Number of EV,Population_y,Z Score_y
El Dorado,2016,181630,-0.2237789463094071,142202,927,181630,-0.2237789463094071
Fresno,2016,975622,-0.0700182464571887,554754,2054,975622,-0.0700182464571887
Glenn,2016,27714,-0.2535855840065804,20701,19,27714,-0.2535855840065804
Humboldt,2016,137015,-0.2324188741977318,97681,673,137015,-0.2324188741977318
Imperial,2016,179897,-0.2241145508153012,131459,62,179897,-0.2241145508153012
Inyo,2016,18876,-0.2552971088900728,15941,15,18876,-0.2552971088900728
Kern,2016,876846,-0.0891467350170264,497026,987,876846,-0.0891467350170264
Kings,2016,148487,-0.2301972614501164,76498,93,148487,-0.2301972614501164
Lake,2016,66991,-0.2459793877122908,54241,115,66991,-0.2459793877122908
Lassen,2016,32293,-0.2526988367287447,19526,6,32293,-0.2526988367287447
Los Angeles,2016,10087542,1.6945526764204042,6154945,60589,10087542,1.6945526764204042
Madera,2016,152819,-0.2293583470129938,89419,192,152819,-0.2293583470129938
Marin,2016,264554,-0.2077202803851341,183934,3858,264554,-0.2077202803851341
Mariposa,2016,17625,-0.2555393715772474,16555,22,17625,-0.2555393715772474
Mendocino,2016,90761,-0.2413762030007481,73250,440,90761,-0.2413762030007481
Merced,2016,268527,-0.2069508881739873,155608,226,268527,-0.2069508881739873
Modoc,2016,9130,-0.257184472718373,6775,2,9130,-0.257184472718373
Mono,2016,13412,-0.2563552410425284,10289,15,13412,-0.2563552410425284
Monterey,2016,434712,-0.1747682945144278,276640,1093,434712,-0.1747682945144278
Napa,2016,141119,-0.2316241131520367,100108,888,141119,-0.2316241131520367
Nevada,2016,100793,-0.2394334537779379,79306,324,100793,-0.2394334537779379
Orange,2016,3165028,0.3539716663135269,2090818,26956,3165028,0.3539716663135269
Placer,2016,379143,-0.1855295217435283,272468,1829,379143,-0.1855295217435283
Plumas,2016,19017,-0.2552698035032689,17894,11,19017,-0.2552698035032689
Riverside,2016,2326213,0.1915307582860675,1426424,6329,2326213,0.1915307582860675
Sacramento,2016,1511942,0.0338429241147336,924973,4569,1511942,0.0338429241147336
San Benito,2016,59563,-0.2474178587277447,41896,209,59563,-0.2474178587277447
San Bernardino,2016,2124990,0.152562872833364,1291619,4911,2124990,0.152562872833364
San Diego,2016,3263004,0.3729452306929173,2165631,16914,3263004,0.3729452306929173
San Francisco,2016,861977,-0.0920261945658665,382460,5558,861977,-0.0920261945658665
San Joaquin,2016,735670,-0.1164862051405753,444390,1439,735670,-0.1164862051405753
San Luis Obispo,2016,281046,-0.2045265184052113,197388,1061,281046,-0.2045265184052113
San Mateo,2016,763530,-0.1110909705564953,567082,9419,763530,-0.1110909705564953
Santa Barbara,2016,444102,-0.1729498719464267,283308,1568,444102,-0.1729498719464267
Santa Clara,2016,1923243,0.1134935120424675,1261508,33659,1923243,0.1134935120424675
Santa Cruz,2016,275625,-0.2055763233829679,185146,2275,275625,-0.2055763233829679
Shasta,2016,180374,-0.2240221772727094,126316,191,180374,-0.2240221772727094
Sierra,2016,3222,-0.2583285877909769,3022,3,3222,-0.2583285877909769
Siskiyou,2016,44497,-0.25033546835602,37724,35,44497,-0.25033546835602
Solano,2016,438420,-0.1740502209380542,292578,1645,438420,-0.1740502209380542
Sonoma,2016,501553,-0.1618241855828238,359813,4089,501553,-0.1618241855828238
Stanislaus,2016,537785,-0.1548076694503621,333680,810,537785,-0.1548076694503621
Sutter,2016,96065,-0.2403490556843819,63565,70,96065,-0.2403490556843819
Tehama,2016,64017,-0.2465553183531039,42937,33,64017,-0.2465553183531039
Trinity,2016,15136,-0.2560213794336643,11388,18,15136,-0.2560213794336643
Tulare,2016,461170,-0.1696445645565819,263354,281,461170,-0.1696445645565819
Tuolumne,2016,55303,-0.248242829988627,46649,59,55303,-0.248242829988627
Ventura,2016,851155,-0.0941219314168684,584235,4449,851155,-0.0941219314168684
Yolo,2016,211938,-0.2179096437331581,124121,933,211938,-0.2179096437331581
Yuba,2016,76245,-0.2441873022549657,45695,68,76245,-0.2441873022549657
Alameda,2017,1656919,0.061918477750633,1111061,24927,1656919,0.061918477750633
Amador,2017,38807,-0.2514373665894519,38303,92,38807,-0.2514373665894519
Butte,2017,230412,-0.2143320570961771,162254,395,230412,-0.2143320570961771
Calaveras,2017,45355,-0.2501693121724901,50157,115,45355,-0.2501693121724901
Colusa,2017,21773,-0.2547360897016277,18276,12,21773,-0.2547360897016277
Contra Costa,2017,1147957,-0.03664467316044,848104,12972,1147957,-0.03664467316044
Del Norte,2017,27158,-0.2536932563119913,18299,47,27158,-0.2536932563119913
El Dorado,2017,182695,-0.2235727034941865,161188,1322,182695,-0.2235727034941865
Fresno,2017,983436,-0.0685050245246689,628363,3198,983436,-0.0685050245246689
Glenn,2017,27786,-0.2535716408303402,23472,24,27786,-0.2535716408303402
Humboldt,2017,138027,-0.2322228951094658,108338,960,138027,-0.2322228951094658
Imperial,2017,180854,-0.223929222764441,149855,109,180854,-0.223929222764441
Inyo,2017,18880,-0.2552963342691706,18114,26,18880,-0.2552963342691706
Kern,2017,883531,-0.087852149834163,558042,1493,883531,-0.087852149834163
Kings,2017,148079,-0.2302762727821445,86788,184,148079,-0.2302762727821445
Lake,2017,67318,-0.2459160624535329,61025,203,67318,-0.2459160624535329
Lassen,2017,32459,-0.2526666899613018,21564,8,32459,-0.2526666899613018
Los Angeles,2017,10107312,1.69838124022971,6848320,85094,10107312,1.69838124022971
Madera,2017,154151,-0.2291003982525489,101652,281,154151,-0.2291003982525489
Marin,2017,264366,-0.2077566875675392,203780,5262,264366,-0.2077566875675392
Mariposa,2017,17501,-0.2555633848252167,18468,28,17501,-0.2555633848252167
Mendocino,2017,91368,-0.2412586542788336,81333,601,91368,-0.2412586542788336
Merced,2017,271094,-0.2064537752099767,177219,348,271094,-0.2064537752099767
Modoc,2017,8979,-0.2572137146574324,7764,2,8979,-0.2572137146574324
Mono,2017,13425,-0.2563527235245961,11550,22,13425,-0.2563527235245961
Monterey,2017,437800,-0.1741702871779009,311513,1567,437800,-0.1741702871779009
Napa,2017,140837,-0.2316787239256444,111695,1223,140837,-0.2316787239256444
Nevada,2017,100998,-0.2393937544566983,89168,476,100998,-0.2393937544566983
Orange,2017,3185541,0.3579441159554233,2339967,38954,3185541,0.3579441159554233
Placer,2017,386586,-0.184088145899691,308969,2648,386586,-0.184088145899691
Plumas,2017,19365,-0.2552024114847743,20174,18,19365,-0.2552024114847743
Riverside,2017,2355286,0.1971608966587508,1622197,9837,2355286,0.1971608966587508
Sacramento,2017,1530548,0.0374460732414885,1046050,6966,1530548,0.0374460732414885
San Benito,2017,60499,-0.2472365974366213,47857,347,60499,-0.2472365974366213
San Bernardino,2017,2142339,0.155922597341591,1463174,7462,2142339,0.155922597341591
San Diego,2017,3279856,0.3762087085540413,2434586,23410,3279856,0.3762087085540413
San Francisco,2017,867378,-0.0909802626926212,420275,7824,867378,-0.0909802626926212
San Joaquin,2017,747119,-0.1142690464631477,507686,2332,747119,-0.1142690464631477
San Luis Obispo,2017,282284,-0.204286773235969,220486,1648,282284,-0.204286773235969
San Mateo,2017,765207,-0.1107662107432325,637236,12702,765207,-0.1107662107432325
Santa Barbara,2017,445716,-0.1726373124123741,317555,2376,445716,-0.1726373124123741
Santa Clara,2017,1930897,0.1149757491388978,1402093,44448,1930897,0.1149757491388978
Santa Cruz,2017,275410,-0.2056179592564631,206951,3062,275410,-0.2056179592564631
Shasta,2017,180810,-0.2239377435943656,140389,296,180810,-0.2239377435943656
Sierra,2017,3236,-0.2583258766178191,3392,3,3236,-0.2583258766178191
Siskiyou,2017,44377,-0.2503587069830871,41854,48,44377,-0.2503587069830871
Solano,2017,444713,-0.17283154860361,330279,2431,444713,-0.17283154860361
Sonoma,2017,502454,-0.161649702224595,400994,6263,502454,-0.161649702224595
Stanislaus,2017,545273,-0.1533575791213746,378035,1190,545273,-0.1533575791213746
Sutter,2017,97649,-0.2400423058070961,71648,113,97649,-0.2400423058070961
Tehama,2017,64304,-0.2464997393033684,47705,56,64304,-0.2464997393033684
Trinity,2017,15381,-0.2559739339034023,12372,22,15381,-0.2559739339034023
Tulare,2017,463514,-0.1691906367078711,299138,609,463514,-0.1691906367078711
Tuolumne,2017,55133,-0.248275751376972,52475,95,55133,-0.248275751376972
Ventura,2017,850424,-0.0942634933867522,654094,6284,850424,-0.0942634933867522
Yolo,2017,214387,-0.2174353820857636,140187,1374,214387,-0.2174353820857636
Yuba,2017,77751,-0.2438956574852736,51477,101,77751,-0.2438956574852736
Alameda,2018,1666247,0.0637248936946495,1111143,34732,1666247,0.0637248936946495
Amador,2018,39708,-0.2512628832312231,38533,128,39708,-0.2512628832312231
Butte,2018,231774,-0.2140682986789654,161666,588,231774,-0.2140682986789654
Calaveras,2018,45367,-0.2501669883097834,50452,177,45367,-0.2501669883097834
Colusa,2018,21808,-0.2547293117687332,18425,21,21808,-0.2547293117687332
Contra Costa,2018,1155105,-0.0352604256081427,852483,18421,1155105,-0.0352604256081427
Del Norte,2018,27269,-0.2536717605819543,18683,64,27269,-0.2536717605819543
El Dorado,2018,185303,-0.223067650665928,162960,1905,185303,-0.223067650665928
Fresno,2018,992091,-0.0668289385474538,641795,4154,992091,-0.0668289385474538
Glenn,2018,27854,-0.2535584722750021,23835,35,27854,-0.2535584722750021
Humboldt,2018,137893,-0.2322488449096908,107341,1170,137893,-0.2322488449096908
Imperial,2018,181374,-0.2238285220471502,152977,163,181374,-0.2238285220471502
Inyo,2018,18906,-0.255291299233306,18335,42,18906,-0.255291299233306
Kern,2018,891340,-0.0863398961777711,566986,2094,891340,-0.0863398961777711
Kings,2018,150058,-0.2298930290907628,87961,273,150058,-0.2298930290907628
Lake,2018,67890,-0.245805291664513,61418,265,67890,-0.245805291664513
Lassen,2018,32721,-0.2526159522922054,21578,14,32721,-0.2526159522922054
Los Angeles,2018,10107841,1.698483683844031,6835247,115035,10107841,1.698483683844031
Madera,2018,155100,-0.2289166194434932,103610,362,155100,-0.2289166194434932
Marin,2018,264099,-0.2078083935127635,202836,6991,264099,-0.2078083935127635
Mariposa,2018,17398,-0.2555833313134493,18357,57,17398,-0.2555833313134493
Mendocino,2018,91667,-0.2412007513663914,81304,726,91667,-0.2412007513663914
Merced,2018,274768,-0.2057422859112722,181566,568,274768,-0.2057422859112722
Modoc,2018,8943,-0.2572206862455525,7804,6,8943,-0.2572206862455525
Mono,2018,13319,-0.2563732509785054,11640,31,13319,-0.2563732509785054
Monterey,2018,438000,-0.1741315561327891,316496,2259,438000,-0.1741315561327891
Napa,2018,139786,-0.2318822555677072,112241,1650,139786,-0.2318822555677072
Nevada,2018,101640,-0.2392694278018893,89660,682,101640,-0.2392694278018893
Orange,2018,3192479,0.3592876959103531,2346791,54835,3192479,0.3592876959103531
Placer,2018,392693,-0.1829054934372008,315501,3839,392693,-0.1829054934372008
Plumas,2018,19388,-0.2551979574145865,20474,28,19388,-0.2551979574145865
Riverside,2018,2375547,0.2010845451838062,1651047,14204,2375547,0.2010845451838062
Sacramento,2018,1547095,0.040650486258817,1059363,10450,1547095,0.040650486258817
San Benito,2018,61143,-0.2471118834713611,49468,479,61143,-0.2471118834713611
San Bernardino,2018,2153258,0.1580371187494721,1484400,10823,2153258,0.1580371187494721
San Diego,2018,3294139,0.3789746861407037,2443263,33830,3294139,0.3789746861407037
San Francisco,2018,872724,-0.0899449818567816,414271,11278,872724,-0.0899449818567816
San Joaquin,2018,755573,-0.1126318851862701,519661,3469,755573,-0.1126318851862701
San Luis Obispo,2018,282754,-0.2041957552799562,221429,2476,282754,-0.2041957552799562
San Mateo,2018,766114,-0.1105905654536503,641943,18271,766114,-0.1105905654536503
Santa Barbara,2018,447377,-0.1723156510827203,319786,3354,447377,-0.1723156510827203
Santa Clara,2018,1936569,0.1160741615782697,1399036,60245,1936569,0.1160741615782697
Santa Cruz,2018,274274,-0.2058379515926984,206571,4004,274274,-0.2058379515926984
Shasta,2018,181792,-0.2237475741628664,140931,442,181792,-0.2237475741628664
Sierra,2018,3243,-0.2583245210312401,3379,6,3243,-0.2583245210312401
Siskiyou,2018,44315,-0.2503707136070717,41672,69,44315,-0.2503707136070717
Solano,2018,447744,-0.17224457961494,335672,3421,447744,-0.17224457961494
Sonoma,2018,499410,-0.1622391887311972,400422,8008,499410,-0.1622391887311972
Stanislaus,2018,548363,-0.1527591844743966,385092,1605,548363,-0.1527591844743966
Sutter,2018,99498,-0.2396842372950371,72395,174,99498,-0.2396842372950371
Tehama,2018,64789,-0.2464058165189722,47941,75,64789,-0.2464058165189722
Trinity,2018,15642,-0.2559233898895313,12032,26,15642,-0.2559233898895313
Tulare,2018,466766,-0.1685608699143525,303924,853,466766,-0.1685608699143525
Tuolumne,2018,55213,-0.2482602589589273,53097,136,55213,-0.2482602589589273
Ventura,2018,850604,-0.0942286354461516,656711,8930,850604,-0.0942286354461516
Yolo,2018,215708,-0.2171795635327998,141511,2016,215708,-0.2171795635327998
Yuba,2018,78751,-0.2437020022597143,52265,148,78751,-0.2437020022597143
Alameda,2019,1675964,0.0656066415214084,1110435,42887,1675964,0.0656066415214084
Amador,2019,40227,-0.2511623761691579,39132,175,40227,-0.2511623761691579
Butte,2019,227263,-0.214941877401463,154139,796,227263,-0.214941877401463
Calaveras,2019,45324,-0.2501753154844825,50718,224,45324,-0.2501753154844825
Colusa,2019,21745,-0.2547415120479434,18803,28,21745,-0.2547415120479434
Contra Costa,2019,1161077,-0.034103916601103,857731,23018,1161077,-0.034103916601103
Del Norte,2019,27567,-0.2536140513247376,19000,76,27567,-0.2536140513247376
El Dorado,2019,186714,-0.222794403142664,163945,2391,186714,-0.222794403142664
Fresno,2019,1000679,-0.0651658274703512,657283,5015,1000679,-0.0651658274703512
Glenn,2019,27959,-0.2535381384763184,24410,53,27959,-0.2535381384763184
Humboldt,2019,137059,-0.2324103533678072,107404,1367,137059,-0.2324103533678072
Imperial,2019,181025,-0.2238961077208704,157228,234,181025,-0.2238961077208704
Inyo,2019,18938,-0.2552851022660881,18515,53,18938,-0.2552851022660881
Kern,2019,898617,-0.0849306671013766,577670,2787,898617,-0.0849306671013766
Kings,2019,151918,-0.2295328303712227,90430,367,151918,-0.2295328303712227
Lake,2019,67902,-0.2458029678018063,61883,355,67902,-0.2458029678018063
Lassen,2019,32726,-0.2526149840160775,21814,13,32726,-0.2526149840160775
Los Angeles,2019,10067476,1.690666790664333,6827293,141521,10067476,1.690666790664333
Madera,2019,155604,-0.2288190172098114,106033,480,155604,-0.2288190172098114
Marin,2019,263645,-0.2078963129851674,200569,8498,263645,-0.2078963129851674
Mariposa,2019,17242,-0.2556135415286366,18598,69,17242,-0.2556135415286366
Mendocino,2019,91733,-0.2411879701215045,82115,847,91733,-0.2411879701215045
Merced,2019,277693,-0.2051758443765114,186554,784,277693,-0.2051758443765114
Modoc,2019,8880,-0.2572328865247628,7815,2,8880,-0.2572328865247628
Mono,2019,13305,-0.2563759621516632,11928,41,13305,-0.2563759621516632
Monterey,2019,439477,-0.1738455273646381,320258,2880,439477,-0.1738455273646381
Napa,2019,138982,-0.2320379543690568,112200,2009,138982,-0.2320379543690568
Nevada,2019,101719,-0.2392541290390701,90006,886,101719,-0.2392541290390701
Orange,2019,3192408,0.3592739463893384,2352220,68931,3192408,0.3592739463893384
Placer,2019,399659,-0.1815564911359553,322815,5216,399659,-0.1815564911359553
Plumas,2019,19655,-0.2551462514693622,20747,34,19655,-0.2551462514693622
Riverside,2019,2394094,0.2046762686522531,1686102,19213,2394094,0.2046762686522531
Sacramento,2019,1562887,0.0437086895808482,1076888,13923,1562887,0.0437086895808482
San Benito,2019,62734,-0.2468037780074964,50944,602,62734,-0.2468037780074964
San Bernardino,2019,2169538,0.1611898258215763,1510228,14651,2169538,0.1611898258215763
San Diego,2019,3302865,0.3806645216389335,2453257,44168,3302865,0.3806645216389335
San Francisco,2019,872219,-0.090042777745689,407385,13771,872219,-0.090042777745689
San Joaquin,2019,767324,-0.1103562426307236,532035,4822,767324,-0.1103562426307236
San Luis Obispo,2019,282935,-0.20416070368413,222583,3316,282935,-0.20416070368413
San Mateo,2019,765726,-0.1106657036811673,645794,22710,765726,-0.1106657036811673
Santa Barbara,2019,447907,-0.1722130138131739,322735,4201,447907,-0.1722130138131739
Santa Clara,2019,1936821,0.1161229626951106,1390964,71344,1936821,0.1161229626951106
Santa Cruz,2019,272618,-0.2061586446462245,206461,4887,272618,-0.2061586446462245
Shasta,2019,181573,-0.2237899846572639,142345,578,181573,-0.2237899846572639
Sierra,2019,3241,-0.2583249083416912,3439,3,3241,-0.2583249083416912
Siskiyou,2019,44273,-0.2503788471265452,42039,83,44273,-0.2503788471265452
Solano,2019,450545,-0.1717021513281487,338919,4512,450545,-0.1717021513281487
Sonoma,2019,494708,-0.1631497556017767,401497,9131,494708,-0.1631497556017767
Stanislaus,2019,550947,-0.1522587793715516,393560,2153,550947,-0.1522587793715516
Sutter,2019,101531,-0.2392905362214752,73793,284,101531,-0.2392905362214752
Tehama,2019,65030,-0.2463591456096124,49076,109,65030,-0.2463591456096124
Trinity,2019,15898,-0.2558738141517881,11991,33,15898,-0.2558738141517881
Tulare,2019,469228,-0.1680840907490257,311412,1166,469228,-0.1680840907490257
Tuolumne,2019,55074,-0.24828717703528,53674,191,55074,-0.24828717703528
Ventura,2019,847064,-0.0949141749446312,661074,11468,847064,-0.0949141749446312
Yolo,2019,215874,-0.217147416765357,142968,2629,215874,-0.217147416765357
Yuba,2019,79619,-0.2435339095239289,53707,236,79619,-0.2435339095239289
Alameda,2020,1681337,0.0666471510483381,1081947,46249,1681337,0.0666471510483381
Amador,2020,40426,-0.2511238387792716,39360,227,40426,-0.2511238387792716
Butte,2020,216090,-0.2171055872366362,150600,982,216090,-0.2171055872366362
Calaveras,2020,45290,-0.2501818997621515,50925,276,45290,-0.2501818997621515
Colusa,2020,21811,-0.2547287308030565,19002,46,21811,-0.2547287308030565
Contra Costa,2020,1164844,-0.0333744173664214,844872,26161,1164844,-0.0333744173664214
Del Norte,2020,27702,-0.2535879078692871,19235,92,27702,-0.2535879078692871
El Dorado,2020,190202,-0.2221189337159134,163473,2804,190202,-0.2221189337159134
Fresno,2020,1006557,-0.0640275220545141,669380,5481,1006557,-0.0640275220545141
Glenn,2020,28800,-0.2533752744316231,24519,65,28800,-0.2533752744316231
Humboldt,2020,136547,-0.2325095048432935,107979,1475,136547,-0.2325095048432935
Imperial,2020,180036,-0.2240876327389485,163755,288,180036,-0.2240876327389485
Inyo,2020,18995,-0.2552740639182312,18481,79,18995,-0.2552740639182312
Kern,2020,907416,-0.083226694771681,586385,3224,907416,-0.083226694771681
Kings,2020,152249,-0.2294687304915626,92193,380,152249,-0.2294687304915626
Lake,2020,68144,-0.245756103237221,62729,376,68144,-0.245756103237221
Lassen,2020,32555,-0.2526480990596482,21757,14,32555,-0.2526480990596482
Los Angeles,2020,10029036,1.6832226837938362,6635509,156698,10029036,1.6832226837938362
Madera,2020,155967,-0.2287487203629334,108140,574,155967,-0.2287487203629334
Marin,2020,262802,-0.2080595643403138,195061,9709,262802,-0.2080595643403138
Mariposa,2020,17156,-0.2556301958780347,18196,81,17156,-0.2556301958780347
Mendocino,2020,91639,-0.241206173712707,82479,925,91639,-0.241206173712707
Merced,2020,280290,-0.2046729217557341,191277,968,280290,-0.2046729217557341
Modoc,2020,8722,-0.2572634840504011,7931,1,8722,-0.2572634840504011
Mono,2020,13205,-0.2563953276742192,11792,67,13205,-0.2563953276742192
Monterey,2020,439590,-0.1738236443241499,320016,3434,439590,-0.1738236443241499
Napa,2020,138304,-0.2321692526119859,109910,2368,138304,-0.2321692526119859
Nevada,2020,102259,-0.2391495552172681,89113,1115,102259,-0.2391495552172681
Orange,2020,3188326,0.3584834457586057,2303310,78256,3188326,0.3584834457586057
Placer,2020,403822,-0.1807503044319522,321560,6405,403822,-0.1807503044319522
Plumas,2020,19780,-0.2551220445661672,20630,52,19780,-0.2551220445661672
Riverside,2020,2412908,0.2083196980659243,1704293,23091,2412908,0.2083196980659243
Sacramento,2020,1580826,0.0471826706721551,1076112,16072,1580826,0.0471826706721551
San Benito,2020,63931,-0.246571972702502,51849,721,63931,-0.246571972702502
San Bernardino,2020,2179505,0.163119987454725,1523639,17465,2179505,0.163119987454725
San Diego,2020,3297350,0.3795965130699744,2425831,51800,3297350,0.3795965130699744
San Francisco,2020,873444,-0.0898055500943789,393475,16242,873444,-0.0898055500943789
San Joaquin,2020,776794,-0.1085223276446778,540500,5946,776794,-0.1085223276446778
San Luis Obispo,2020,282484,-0.2042480421908572,220063,3965,282484,-0.2042480421908572
San Mateo,2020,765009,-0.1108045544778932,582705,25046,765009,-0.1108045544778932
Santa Barbara,2020,448408,-0.1721159925451687,320797,5121,448408,-0.1721159925451687
Santa Clara,2020,1936352,0.1160321383943233,1336130,74125,1936352,0.1160321383943233
Santa Cruz,2020,271259,-0.2064218220977595,202034,5438,271259,-0.2064218220977595
Shasta,2020,181926,-0.2237216243626415,142748,734,181926,-0.2237216243626415
Sierra,2020,3235,-0.2583260702730446,3461,7,3235,-0.2583260702730446
Siskiyou,2020,44111,-0.2504102192730858,41788,98,44111,-0.2504102192730858
Solano,2020,452957,-0.1712350549240998,338325,5151,452957,-0.1712350549240998
Sonoma,2020,490008,-0.1640599351619051,397692,9877,490008,-0.1640599351619051
Stanislaus,2020,552488,-0.1519603566689648,399746,2610,552488,-0.1519603566689648
Sutter,2020,100058,-0.239575790368724,73601,364,100058,-0.239575790368724
Tehama,2020,65674,-0.2462344316443523,48969,143,65674,-0.2462344316443523
Trinity,2020,16070,-0.255840505452992,11943,47,16070,-0.255840505452992
Tulare,2020,472371,-0.1674754323750931,318816,1393,472371,-0.1674754323750931
Tuolumne,2020,55529,-0.2481990639076506,53232,240,55529,-0.2481990639076506
Ventura,2020,844339,-0.0954418854342801,655209,13166,844339,-0.0954418854342801
Yolo,2020,216306,-0.2170637577079154,140577,2979,216306,-0.2170637577079154
Yuba,2020,81178,-0.2432320010272821,54346,291,81178,-0.2432320010272821
Alameda,2021,1666341,0.063743097285852,1104108,57033,1666341,0.063743097285852
Amador,2021,40047,-0.2511972341097585,42201,302,40047,-0.2511972341097585
Butte,2021,207403,-0.2187878701810692,157967,1329,207403,-0.2187878701810692
Calaveras,2021,45259,-0.2501879030741438,54320,369,45259,-0.2501879030741438
Colusa,2021,21774,-0.2547358960464022,20087,76,21774,-0.2547358960464022
Contra Costa,2021,1162336,-0.0338601046721239,870216,33850,1162336,-0.0338601046721239
Del Norte,2021,27450,-0.253636708986128,20619,110,27450,-0.253636708986128
El Dorado,2021,190737,-0.2220153281702392,169451,3665,190737,-0.2220153281702392
Fresno,2021,1008202,-0.0637089592084692,705260,7704,1008202,-0.0637089592084692
Glenn,2021,28812,-0.2533729505689164,26068,102,28812,-0.2533729505689164
Humboldt,2021,135130,-0.2327839142979109,112127,1801,135130,-0.2327839142979109
Imperial,2021,180403,-0.2240165612711682,176590,517,180403,-0.2240165612711682
Inyo,2021,18981,-0.2552767750913891,20251,124,18981,-0.2552767750913891
Kern,2021,905370,-0.0836229133631752,619717,4967,905370,-0.0836229133631752
Kings,2021,151157,-0.2296802019978732,98692,639,151157,-0.2296802019978732
Lake,2021,67778,-0.2458269810497757,66714,461,67778,-0.2458269810497757
Lassen,2021,30991,-0.2529509758324228,23823,26,30991,-0.2529509758324228
Los Angeles,2021,9955445,1.6689714020897075,6903230,209205,9955445,1.6689714020897075
Madera,2021,155982,-0.22874581553455,115772,903,155982,-0.22874581553455
Marin,2021,259721,-0.2086562160902618,199428,12369,259721,-0.2086562160902618
Mariposa,2021,17070,-0.2556468502274328,19409,108,17070,-0.2556468502274328
Mendocino,2021,90910,-0.2413473483721397,85815,1117,90910,-0.2413473483721397
Merced,2021,280944,-0.2045462712382184,205385,1506,280944,-0.2045462712382184
Modoc,2021,8608,-0.2572855607461149,8736,7,8608,-0.2572855607461149
Mono,2021,13191,-0.256398038847377,12548,102,13191,-0.256398038847377
Monterey,2021,436803,-0.1743633614377835,336102,4753,436803,-0.1743633614377835
Napa,2021,137128,-0.2323969911572436,113580,3210,137128,-0.2323969911572436
Nevada,2021,101985,-0.2392026167490713,92203,1489,101985,-0.2392026167490713
Orange,2021,3172352,0.3553899971855227,2358722,101782,3172352,0.3553899971855227
Placer,2021,406443,-0.1802427340857615,332670,8805,406443,-0.1802427340857615
Plumas,2021,19626,-0.2551518674709034,21913,91,19626,-0.2551518674709034
Riverside,2021,2419165,0.2095313988122484,1796471,33888,2419165,0.2095313988122484
Sacramento,2021,1580120,0.0470459500829103,1147316,23750,1580120,0.0470459500829103
San Benito,2021,64642,-0.2464342838371294,55902,1038,64642,-0.2464342838371294
San Bernardino,2021,2179006,0.163023353497171,1612110,25249,2179006,0.163023353497171
San Diego,2021,3286880,0.3775689428583693,2514519,70095,3286880,0.3775689428583693
San Francisco,2021,855338,-0.0933118716083542,403474,21822,855338,-0.0933118716083542
San Joaquin,2021,780320,-0.107839499319356,572492,8910,780320,-0.107839499319356
San Luis Obispo,2021,278737,-0.2049736683210276,230362,5324,278737,-0.2049736683210276
San Mateo,2021,756636,-0.1124260296815006,573973,32424,756636,-0.1124260296815006
Santa Barbara,2021,441552,-0.1734436927716028,335083,6938,441552,-0.1734436927716028
Santa Clara,2021,1913779,0.111660758987775,1352394,86809,1913779,0.111660758987775
Santa Cruz,2021,265533,-0.2075306919193116,210277,6730,265533,-0.2075306919193116
Shasta,2021,181483,-0.2238074136275643,148623,1103,181483,-0.2238074136275643
Sierra,2021,3225,-0.2583280068253002,3955,10,3225,-0.2583280068253002
Siskiyou,2021,43905,-0.250450112249551,44588,167,43905,-0.250450112249551
Solano,2021,450122,-0.1717840674885602,353833,7131,450122,-0.1717840674885602
Sonoma,2021,484459,-0.1651345280085332,412861,12242,484459,-0.1651345280085332
Stanislaus,2021,551342,-0.1521822855574557,418300,3889,551342,-0.1521822855574557
Sutter,2021,99089,-0.2397634422822908,76936,604,99089,-0.2397634422822908
Tehama,2021,65336,-0.2462998871105913,51270,220,65336,-0.2462998871105913
Trinity,2021,16054,-0.2558436039366009,12741,53,16054,-0.2558436039366009
Tulare,2021,474000,-0.1671599680126571,340870,2091,474000,-0.1671599680126571
Tuolumne,2021,54827,-0.2483350098759932,56757,359,54827,-0.2483350098759932
Ventura,2021,839916,-0.0962984224969285,676387,17530,839916,-0.0962984224969285
Yolo,2021,214911,-0.2173339067475705,152903,3999,214911,-0.2173339067475705
Yuba,2021,81917,-0.2430888898155938,57869,457,81917,-0.2430888898155938
Alameda,2022,1643683,0.0593552571851312,1057501,72557,1643683,0.0593552571851312
Amador,2022,40010,-0.2512043993531042,40697,413,40010,-0.2512043993531042
Butte,2022,206184,-0.2190239359010259,151828,1732,206184,-0.2190239359010259
Calaveras,2022,45021,-0.2502339930178269,51920,515,45021,-0.2502339930178269
Colusa,2022,21722,-0.2547459661181313,19767,106,21722,-0.2547459661181313
Contra Costa,2022,1149841,-0.0362798267154864,835523,44133,1149841,-0.0362798267154864
Del Norte,2022,26982,-0.2537273396316897,20045,128,26982,-0.2537273396316897
El Dorado,2022,189294,-0.2222947726607212,162883,4869,189294,-0.2222947726607212
Fresno,2022,1010177,-0.0633264901379897,688871,10390,1010177,-0.0633264901379897
Glenn,2022,28777,-0.2533797285018109,24773,130,28777,-0.2533797285018109
Humboldt,2022,134167,-0.2329704042801244,106882,2126,134167,-0.2329704042801244
Imperial,2022,180394,-0.2240183041681983,166477,770,180394,-0.2240183041681983
Inyo,2022,18916,-0.2552893626810504,19560,176,18916,-0.2552893626810504
Kern,2022,908186,-0.0830775802480004,602843,6880,908186,-0.0830775802480004
Kings,2022,151654,-0.2295839553507703,95204,886,151654,-0.2295839553507703
