County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
Colusa,2019,21745,-0.2547415120479434,18803,28
Contra Costa,2019,1161077,-0.034103916601103,857731,23018
Del Norte,2019,27567,-0.2536140513247376,19000,76
El Dorado,2019,186714,-0.222794403142664,163945,2391
Fresno,2019,1000679,-0.0651658274703512,657283,5015
Glenn,2019,27959,-0.2535381384763184,24410,53
Humboldt,2019,137059,-0.2324103533678072,107404,1367
Imperial,2019,181025,-0.2238961077208704,157228,234
Inyo,2019,18938,-0.2552851022660881,18515,53
Kern,2019,898617,-0.0849306671013766,577670,2787
Kings,2019,151918,-0.2295328303712227,90430,367
Lake,2019,67902,-0.2458029678018063,61883,355
Lassen,2019,32726,-0.2526149840160775,21814,13
Los Angeles,2019,10067476,1.690666790664333,6827293,141521
Madera,2019,155604,-0.2288190172098114,106033,480
Marin,2019,263645,-0.2078963129851674,200569,8498
Mariposa,2019,17242,-0.2556135415286366,18598,69
Mendocino,2019,91733,-0.2411879701215045,82115,847
Merced,2019,277693,-0.2051758443765114,186554,784
Modoc,2019,8880,-0.2572328865247628,7815,2
Mono,2019,13305,-0.2563759621516632,11928,41
Monterey,2019,439477,-0.1738455273646381,320258,2880
Napa,2019,138982,-0.2320379543690568,112200,2009
Nevada,2019,101719,-0.2392541290390701,90006,886
Orange,2019,3192408,0.3592739463893384,2352220,68931
Placer,2019,399659,-0.1815564911359553,322815,5216
Plumas,2019,19655,-0.2551462514693622,20747,34
Riverside,2019,2394094,0.2046762686522531,1686102,19213
Sacramento,2019,1562887,0.0437086895808482,1076888,13923
San Benito,2019,62734,-0.2468037780074964,50944,602
San Bernardino,2019,2169538,0.1611898258215763,1510228,14651
San Diego,2019,3302865,0.3806645216389335,2453257,44168
San Francisco,2019,872219,-0.090042777745689,407385,13771
San Joaquin,2019,767324,-0.1103562426307236,532035,4822
San Luis Obispo,2019,282935,-0.20416070368413,222583,3316
San Mateo,2019,765726,-0.1106657036811673,645794,22710
Santa Barbara,2019,447907,-0.1722130138131739,322735,4201
Santa Clara,2019,1936821,0.1161229626951106,1390964,71344
Santa Cruz,2019,272618,-0.2061586446462245,206461,4887
Shasta,2019,181573,-0.2237899846572639,142345,578
Sierra,2019,3241,-0.2583249083416912,3439,3
Siskiyou,2019,44273,-0.2503788471265452,42039,83
Solano,2019,450545,-0.1717021513281487,338919,4512
Sonoma,2019,494708,-0.1631497556017767,401497,9131
Stanislaus,2019,550947,-0.1522587793715516,393560,2153
Sutter,2019,101531,-0.2392905362214752,73793,284
Tehama,2019,65030,-0.2463591456096124,49076,109
Trinity,2019,15898,-0.2558738141517881,11991,33
Tulare,2019,469228,-0.1680840907490257,311412,1166
Tuolumne,2019,55074,-0.24828717703528,53674,191
Ventura,2019,847064,-0.0949141749446312,661074,11468
Yolo,2019,215874,-0.217147416765357,142968,2629
Yuba,2019,79619,-0.2435339095239289,53707,236
Alameda,2020,1681337,0.0666471510483381,1081947,46249
Amador,2020,40426,-0.2511238387792716,39360,227
Butte,2020,216090,-0.2171055872366362,150600,982
Calaveras,2020,45290,-0.2501818997621515,50925,276
Colusa,2020,21811,-0.2547287308030565,19002,46
Contra Costa,2020,1164844,-0.0333744173664214,844872,26161
Del Norte,2020,27702,-0.2535879078692871,19235,92
El Dorado,2020,190202,-0.2221189337159134,163473,2804
Fresno,2020,1006557,-0.0640275220545141,669380,5481
Glenn,2020,28800,-0.2533752744316231,24519,65
Humboldt,2020,136547,-0.2325095048432935,107979,1475
Imperial,2020,180036,-0.2240876327389485,163755,288
Inyo,2020,18995,-0.2552740639182312,18481,79
Kern,2020,907416,-0.083226694771681,586385,3224
Kings,2020,152249,-0.2294687304915626,92193,380
Lake,2020,68144,-0.245756103237221,62729,376
Lassen,2020,32555,-0.2526480990596482,21757,14
Los Angeles,2020,10029036,1.6832226837938362,6635509,156698
Madera,2020,155967,-0.2287487203629334,108140,574
Marin,2020,262802,-0.2080595643403138,195061,9709
Mariposa,2020,17156,-0.2556301958780347,18196,81
Mendocino,2020,91639,-0.241206173712707,82479,925
Merced,2020,280290,-0.2046729217557341,191277,968
Modoc,2020,8722,-0.2572634840504011,7931,1
Mono,2020,13205,-0.2563953276742192,11792,67
Monterey,2020,439590,-0.1738236443241499,320016,3434
Napa,2020,138304,-0.2321692526119859,109910,2368
Nevada,2020,102259,-0.2391495552172681,89113,1115
Orange,2020,3188326,0.3584834457586057,2303310,78256
Placer,2020,403822,-0.1807503044319522,321560,6405
Plumas,2020,19780,-0.2551220445661672,20630,52
Riverside,2020,2412908,0.2083196980659243,1704293,23091
Sacramento,2020,1580826,0.0471826706721551,1076112,16072
San Benito,2020,63931,-0.246571972702502,51849,721
San Bernardino,2020,2179505,0.163119987454725,1523639,17465
San Diego,2020,3297350,0.3795965130699744,2425831,51800
San Francisco,2020,873444,-0.0898055500943789,393475,16242
San Joaquin,2020,776794,-0.1085223276446778,540500,5946
San Luis Obispo,2020,282484,-0.2042480421908572,220063,3965
San Mateo,2020,765009,-0.1108045544778932,582705,25046
Santa Barbara,2020,448408,-0.1721159925451687,320797,5121
Santa Clara,2020,1936352,0.1160321383943233,1336130,74125
Santa Cruz,2020,271259,-0.2064218220977595,202034,5438
Shasta,2020,181926,-0.2237216243626415,142748,734
Sierra,2020,3235,-0.2583260702730446,3461,7
Siskiyou,2020,44111,-0.2504102192730858,41788,98
Solano,2020,452957,-0.1712350549240998,338325,5151
Sonoma,2020,490008,-0.1640599351619051,397692,9877
Stanislaus,2020,552488,-0.1519603566689648,399746,2610
Sutter,2020,100058,-0.239575790368724,73601,364
Tehama,2020,65674,-0.2462344316443523,48969,143
Trinity,2020,16070,-0.255840505452992,11943,47
Tulare,2020,472371,-0.1674754323750931,318816,1393
Tuolumne,2020,55529,-0.2481990639076506,53232,240
Ventura,2020,844339,-0.0954418854342801,655209,13166
Yolo,2020,216306,-0.2170637577079154,140577,2979
Yuba,2020,81178,-0.2432320010272821,54346,291
Alameda,2021,1666341,0.063743097285852,1104108,57033
Amador,2021,40047,-0.2511972341097585,42201,302
Butte,2021,207403,-0.2187878701810692,157967,1329
Calaveras,2021,45259,-0.2501879030741438,54320,369
Colusa,2021,21774,-0.2547358960464022,20087,76
Contra Costa,2021,1162336,-0.0338601046721239,870216,33850
Del Norte,2021,27450,-0.253636708986128,20619,110
El Dorado,2021,190737,-0.2220153281702392,169451,3665
Fresno,2021,1008202,-0.0637089592084692,705260,7704
Glenn,2021,28812,-0.2533729505689164,26068,102
Humboldt,2021,135130,-0.2327839142979109,112127,1801
Imperial,2021,180403,-0.2240165612711682,176590,517
Inyo,2021,18981,-0.2552767750913891,20251,124
Kern,2021,905370,-0.0836229133631752,619717,4967
Kings,2021,151157,-0.2296802019978732,98692,639
Lake,2021,67778,-0.2458269810497757,66714,461
Lassen,2021,30991,-0.2529509758324228,23823,26
Los Angeles,2021,9955445,1.6689714020897075,6903230,209205
Madera,2021,155982,-0.22874581553455,115772,903
Marin,2021,259721,-0.2086562160902618,199428,12369
Mariposa,2021,17070,-0.2556468502274328,19409,108
Mendocino,2021,90910,-0.2413473483721397,85815,1117
Merced,2021,280944,-0.2045462712382184,205385,1506
Modoc,2021,8608,-0.2572855607461149,8736,7
Mono,2021,13191,-0.256398038847377,12548,102
Monterey,2021,436803,-0.1743633614377835,336102,4753
Napa,2021,137128,-0.2323969911572436,113580,3210
Nevada,2021,101985,-0.2392026167490713,92203,1489
Orange,2021,3172352,0.3553899971855227,2358722,101782
Placer,2021,406443,-0.1802427340857615,332670,8805
Plumas,2021,19626,-0.2551518674709034,21913,91
Riverside,2021,2419165,0.2095313988122484,1796471,33888
Sacramento,2021,1580120,0.0470459500829103,1147316,23750
San Benito,2021,64642,-0.2464342838371294,55902,1038
San Bernardino,2021,2179006,0.163023353497171,1612110,25249
San Diego,2021,3286880,0.3775689428583693,2514519,70095
San Francisco,2021,855338,-0.0933118716083542,403474,21822
San Joaquin,2021,780320,-0.107839499319356,572492,8910
San Luis Obispo,2021,278737,-0.2049736683210276,230362,5324
San Mateo,2021,756636,-0.1124260296815006,573973,32424
Santa Barbara,2021,441552,-0.1734436927716028,335083,6938
Santa Clara,2021,1913779,0.111660758987775,1352394,86809
Santa Cruz,2021,265533,-0.2075306919193116,210277,6730
Shasta,2021,181483,-0.2238074136275643,148623,1103
Sierra,2021,3225,-0.2583280068253002,3955,10
Siskiyou,2021,43905,-0.250450112249551,44588,167
Solano,2021,450122,-0.1717840674885602,353833,7131
Sonoma,2021,484459,-0.1651345280085332,412861,12242
Stanislaus,2021,551342,-0.1521822855574557,418300,3889
Sutter,2021,99089,-0.2397634422822908,76936,604
Tehama,2021,65336,-0.2462998871105913,51270,220
Trinity,2021,16054,-0.2558436039366009,12741,53
Tulare,2021,474000,-0.1671599680126571,340870,2091
Tuolumne,2021,54827,-0.2483350098759932,56757,359
Ventura,2021,839916,-0.0962984224969285,676387,17530
Yolo,2021,214911,-0.2173339067475705,152903,3999
Yuba,2021,81917,-0.2430888898155938,57869,457
Alameda,2022,1643683,0.0593552571851312,1057501,72557
Amador,2022,40010,-0.2512043993531042,40697,413
Butte,2022,206184,-0.2190239359010259,151828,1732
Calaveras,2022,45021,-0.2502339930178269,51920,515
Colusa,2022,21722,-0.2547459661181313,19767,106
Contra Costa,2022,1149841,-0.0362798267154864,835523,44133
Del Norte,2022,26982,-0.2537273396316897,20045,128
El Dorado,2022,189294,-0.2222947726607212,162883,4869
Fresno,2022,1010177,-0.0633264901379897,688871,10390
Glenn,2022,28777,-0.2533797285018109,24773,130
Humboldt,2022,134167,-0.2329704042801244,106882,2126
Imperial,2022,180394,-0.2240183041681983,166477,770
Inyo,2022,18916,-0.2552893626810504,19560,176
Kern,2022,908186,-0.0830775802480004,602843,6880
Kings,2022,151654,-0.2295839553507703,95204,886
Lake,2022,67597,-0.2458620326456019,63526,600
Lassen,2022,29809,-0.2531798763090338,23115,44
Los Angeles,2022,9861493,1.6507771063379677,6650471,282343
Madera,2022,157040,-0.2285409283059083,113641,1241
Marin,2022,255459,-0.2094815746615952,191793,15449
Mariposa,2022,16988,-0.2556627299559286,17290,147
Mendocino,2022,90227,-0.2414796148911967,81800,1346
Merced,2022,284038,-0.2039471019703382,200238,2086
Modoc,2022,8547,-0.257297373714874,7632,10
Mono,2022,12987,-0.256437544513391,11671,144
Monterey,2022,436033,-0.1745124759614641,319103,6379
Napa,2022,135564,-0.2326998679300182,109871,4234
Nevada,2022,101080,-0.2393778747282024,84769,1946
Orange,2022,3158071,0.3526244069093114,2299018,134291
Placer,2022,407539,-0.1800304879585486,328962,12350
Plumas,2022,19254,-0.2552239072148114,18889,117
Riverside,2022,2427832,0.2112098086521701,1765291,47681
Sacramento,2022,1572254,0.0455226580786614,1107136,32416
San Benito,2022,65642,-0.2462406286115702,53803,1485
San Bernardino,2022,2179845,0.1631858302314152,1568171,36094
San Diego,2022,3278730,0.3759906527700617,2446883,95024
San Francisco,2022,840575,-0.096170803703285,386911,28011
San Joaquin,2022,782163,-0.1074825927386503,556150,12961
San Luis Obispo,2022,279439,-0.204837722352685,222920,6929
San Mateo,2022,742051,-0.1152504911462819,567346,43165
Santa Barbara,2022,443074,-0.1731489495183016,325288,8983
Santa Clara,2022,1895752,0.1081697362366189,1289536,108243
Santa Cruz,2022,264495,-0.2077317060434421,215275,8169
Shasta,2022,180206,-0.2240547113506034,132514,1516
Sierra,2022,3205,-0.2583318799298114,3537,18
Siskiyou,2022,43571,-0.2505147930948878,44395,241
Solano,2022,447027,-0.172383430411666,339309,9315
Sonoma,2022,479654,-0.1660650413673453,397389,15055
Stanislaus,2022,548215,-0.1527878454477794,403896,5345
Sutter,2022,99153,-0.2397510483478551,74337,885
Tehama,2022,64942,-0.2463761872694616,56998,288
Trinity,2022,15971,-0.2558596773203224,11910,63
Tulare,2022,474624,-0.1670391271519081,330357,2826
Tuolumne,2022,54500,-0.248398335134751,56034,495
Ventura,2022,831531,-0.0979222215632426,658712,23713
Yolo,2022,220176,-0.2163143119850012,149982,5077
Yuba,2022,82234,-0.2430275011090915,56190,689
Alameda,2023,1650656,0.0607056150729556,1028698,97131
Amador,2023,39924,-0.2512210537025023,40951,536
Butte,2023,206579,-0.21894744208693,151420,2370
Calaveras,2023,44899,-0.2502576189553451,52304,703
Colusa,2023,21831,-0.2547248576985453,19582,130
Contra Costa,2023,1145274,-0.0371642501306154,825102,58560
Del Norte,2023,26586,-0.2538040271010112,19733,181
El Dorado,2023,188067,-0.2225323876224823,162480,6272
Fresno,2023,1010914,-0.0631837662367526,683686,14199
Glenn,2023,28330,-0.2534662923876359,24710,181
Humboldt,2023,134597,-0.232887132533134,105041,2513
Imperial,2023,179623,-0.2241676123471044,170519,1197
Inyo,2023,18890,-0.255294397716915,19463,238
Kern,2023,906165,-0.0834689574588556,597507,9647
Kings,2023,151629,-0.2295887967314093,95631,1179
Lake,2023,66698,-0.2460361286933796,63373,760
Lassen,2023,28376,-0.2534573842472602,22157,61
Los Angeles,2023,9819312,1.642608535268654,6514305,392463
Madera,2023,157909,-0.2283726419148974,114621,1739
Marin,2023,253972,-0.2097695399820018,188135,19221
Mariposa,2023,16968,-0.2556666030604398,18482,197
Mendocino,2023,89556,-0.2416095575475469,80638,1638
Merced,2023,285193,-0.2037234301848172,199940,2880
Modoc,2023,8501,-0.2573062818552497,8221,16
Mono,2023,13193,-0.2563976515369259,11831,198
Monterey,2023,433953,-0.1749152788306273,326269,8505
Napa,2023,134508,-0.2329043678482087,108285,5371
Nevada,2023,100474,-0.2394952297948913,87433,2473
Orange,2023,3141065,0.3493311061434513,2260910,180716
Placer,2023,410085,-0.1795374417542748,329303,16898
Plumas,2023,18993,-0.2552744512286823,20171,145
Riverside,2023,2428580,0.2113546627608884,1758805,67446
Sacramento,2023,1576639,0.0463718362427386,1100057,45098
San Benito,2023,65165,-0.2463330021541619,54840,1935
San Bernardino,2023,2172694,0.1618010017134412,1554788,51206
San Diego,2023,3290423,0.3782550633225257,2419003,132113
San Francisco,2023,842224,-0.0958514662363378,371509,37412
San Joaquin,2023,783903,-0.1071456326461773,553941,19225
San Luis Obispo,2023,279818,-0.2047643270221981,222023,9139
San Mateo,2023,745302,-0.1146209180079888,543506,57455
Santa Barbara,2023,442342,-0.173290705143411,323007,11894
Santa Clara,2023,1902799,0.1095344246111347,1288696,141417
Santa Cruz,2023,263338,-0.2079557651394141,199421,10109
Shasta,2023,179122,-0.2242646336151096,140884,2001
Sierra,2023,3187,-0.2583353657238714,3722,25
Siskiyou,2023,43479,-0.2505326093756392,41772,305
Solano,2023,445506,-0.1726779800097416,336055,12809
Sonoma,2023,479445,-0.1661055153094871,396054,19064
Stanislaus,2023,545753,-0.1532646246131062,400864,7519
Sutter,2023,98248,-0.2399263063269862,73888,1147
Tehama,2023,64710,-0.2464211152817914,48496,398
Trinity,2023,15944,-0.2558649060114125,11867,88
Tulare,2023,474680,-0.1670282824592768,331744,3837
Tuolumne,2023,54626,-0.2483739345763306,54369,698
Ventura,2023,825960,-0.099001074824833,651851,31980
Yolo,2023,220454,-0.2162604758322958,152560,6757
Yuba,2023,82814,-0.2429151810782672,57567,961
