County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
Contra Costa,2012,1075165,-0.0507412243393469,673659,632
Del Norte,2012,28193,-0.2534928231535375,15644,3
El Dorado,2012,180121,-0.2240711720447759,128462,68
Fresno,2012,945656,-0.0758213189462963,486872,76
Glenn,2012,28102,-0.2535104457790634,18733,0
Humboldt,2012,135888,-0.232637123636937,89315,21
Imperial,2012,177599,-0.2245595705236363,109630,4
Inyo,2012,18617,-0.2553472655934926,14907,2
Kern,2012,853585,-0.0936513492187595,445574,62
Kings,2012,151242,-0.2296637413037007,69583,3
Lake,2012,65573,-0.2462539908221337,48721,10
Lassen,2012,34222,-0.252325275798641,18635,1
Los Angeles,2012,9937750,1.665544672873437,5530860,4734
Madera,2012,151155,-0.2296805893083243,79537,14
Marin,2012,257096,-0.2091645610573548,173364,316
Mariposa,2012,18084,-0.2554504838287157,15427,2
Mendocino,2012,88402,-0.2418330356778423,66050,18
Merced,2012,261779,-0.2082576736360609,135154,16
Modoc,2012,9508,-0.2571112710431116,6317,0
Mono,2012,14181,-0.2562063201740733,9319,0
Monterey,2012,422477,-0.1771376661991449,243736,76
Napa,2012,138249,-0.2321799036493917,90674,81
Nevada,2012,98896,-0.2398008177408238,72991,19
Orange,2012,3073792,0.3363033381544057,1881637,2175
Placer,2012,360512,-0.1891375122509222,243277,118
Plumas,2012,19700,-0.255137536984212,16815,1
Riverside,2012,2239478,0.1747340722971883,1228399,445
Sacramento,2012,1447519,0.0213670735185318,811630,290
San Benito,2012,56778,-0.2479571885309271,35966,14
San Bernardino,2012,2072061,0.1423128953997399,1132833,344
San Diego,2012,3155715,0.3521681551978939,1931167,1967
San Francisco,2012,826354,-0.0989247746659627,354656,507
San Joaquin,2012,699719,-0.1234483041546549,382646,75
San Luis Obispo,2012,272951,-0.2060941574561133,179353,82
San Mateo,2012,735915,-0.1164387596103133,510352,816
Santa Barbara,2012,427960,-0.1760758545974037,252663,170
Santa Clara,2012,1833344,0.0960841009199189,1140932,2511
Santa Cruz,2012,267492,-0.2071513213324411,167095,154
Shasta,2012,178865,-0.2243144030080783,117732,19
Sierra,2012,3239,-0.2583252956521424,2715,0
Siskiyou,2012,44778,-0.2502810512376378,34251,3
Solano,2012,418963,-0.17781817066176,257811,107
Sonoma,2012,488601,-0.1643324080642669,323367,238
Stanislaus,2012,521723,-0.1579181596832943,290325,40
Sutter,2012,94718,-0.2406099092732102,56491,4
Tehama,2012,63202,-0.2467131473619347,37842,4
Trinity,2012,14193,-0.2562039963113666,10633,4
Tulare,2012,449884,-0.1718301574322433,230802,31
Tuolumne,2012,55100,-0.2482821419994155,41984,7
Ventura,2012,835510,-0.0971516674207425,534659,491
Yolo,2012,204087,-0.2194300309090236,109437,87
Yuba,2012,73501,-0.2447186921939002,40456,6
Alameda,2013,1575139,0.0460813534043998,917322,3622
Amador,2013,37044,-0.2517787807521128,31461,9
Butte,2013,224391,-0.2154980552092691,135830,69
Calaveras,2013,45499,-0.2501414258200096,40843,27
Colusa,2013,21418,-0.2548048373067013,14997,1
Contra Costa,2013,1090305,-0.0478092842243803,698252,1929
Del Norte,2013,27752,-0.2535782251080091,15830,12
El Dorado,2013,179663,-0.224159866138082,133050,212
Fresno,2013,953114,-0.0743770382740756,503427,226
Glenn,2013,27914,-0.2535468529614685,19061,2
Humboldt,2013,135810,-0.2326522287445306,91760,54
Imperial,2013,177731,-0.2245340080338625,113063,15
Inyo,2013,18673,-0.2553364209008613,15218,6
Kern,2013,861948,-0.0920318105674077,459264,189
Kings,2013,150004,-0.229903486472943,71228,11
Lake,2013,65928,-0.2461852432170602,50061,24
Lassen,2013,33564,-0.2524527009370589,19015,1
Los Angeles,2013,9995638,1.6767549865706093,5690003,13869
Madera,2013,150652,-0.2297779978867807,82070,27
Marin,2013,258815,-0.2088316677246184,178103,946
Mariposa,2013,17936,-0.2554791448020985,15908,5
Mendocino,2013,89320,-0.2416552601807789,67977,43
Merced,2013,263501,-0.2079241993376479,139433,39
Modoc,2013,9408,-0.2571306365656675,6404,0
Mono,2013,13865,-0.2562675152253501,9641,1
Monterey,2013,425742,-0.1765053818876941,251527,211
Napa,2013,138808,-0.2320716503783041,94323,210
Nevada,2013,99116,-0.2397582135912007,74537,52
Orange,2013,3105236,0.3423926330668899,1945863,6114
Placer,2013,365195,-0.1882306248296283,251830,387
Plumas,2013,19345,-0.2552062845892855,17019,3
Riverside,2013,2260809,0.1788649319135921,1276953,1299
Sacramento,2013,1461786,0.0241299526215852,839193,1002
San Benito,2013,57386,-0.2478394461537871,37438,45
San Bernardino,2013,2085599,0.1449345998433606,1167485,1003
San Diego,2013,3190323,0.3588701752440474,2003012,4448
San Francisco,2013,839556,-0.0963681383781299,368001,1313
San Joaquin,2013,705545,-0.1223200688105469,395126,218
San Luis Obispo,2013,275482,-0.2056040160802229,185467,251
San Mateo,2013,745842,-0.1145163441861868,529074,2441
Santa Barbara,2013,432485,-0.1751995647017482,260928,414
Santa Clara,2013,1861489,0.1015345272432832,1178520,7816
Santa Cruz,2013,269714,-0.2067210194212485,172542,546
Shasta,2013,180106,-0.2240740768731593,121390,52
Sierra,2013,3225,-0.2583280068253002,2779,0
Siskiyou,2013,44726,-0.2502911213093669,35257,9
Solano,2013,423373,-0.1769641511170439,267275,325
Sonoma,2013,492751,-0.1635287388781961,334893,756
Stanislaus,2013,525173,-0.157250049155115,298876,108
Sutter,2013,94496,-0.2406529007332844,58343,10
Tehama,2013,63257,-0.2467024963245289,39408,6
Trinity,2013,14442,-0.2561557761602024,10822,3
Tulare,2013,453530,-0.1711240904798544,238536,62
Tuolumne,2013,55109,-0.2482803991023855,43389,12
Ventura,2013,841501,-0.0959914789644172,548331,1139
Yolo,2013,206386,-0.2189848175454629,114271,259
Yuba,2013,74114,-0.2445999815406324,41654,18
Alameda,2014,1597747,0.0504595107438427,945024,8304
