County,Data Year,Total Population,Total Population Z Score,"Population Estimate, >18","Population Margin of Error, >18",Number of Gas Cars,Number of EV
Humboldt,2012,135888,-0.232637123636937,109118.064,±0.3,89315,21
Imperial,2012,177599,-0.2245595705236363,126983.28499999999,±0.2,109630,4
Kern,2012,853585,-0.0936513492187595,598363.085,±0.1,445574,62
Kings,2012,151242,-0.2296637413037007,109650.45,±0.1,69583,3
Lake,2012,65573,-0.2462539908221337,52261.681000000004,±0.9,48721,10
Los Angeles,2012,9937750,1.665544672873437,7582503.25,*****,5530860,4734
Madera,2012,151155,-0.2296805893083243,108075.825,±0.3,79537,14
Marin,2012,257096,-0.2091645610573548,204391.32,±0.1,173364,316
Mendocino,2012,88402,-0.2418330356778423,69041.962,±0.3,66050,18
Merced,2012,261779,-0.2082576736360609,181151.06800000003,±0.1,135154,16
Monterey,2012,422477,-0.1771376661991449,309675.641,±0.1,243736,76
Napa,2012,138249,-0.2321799036493917,106866.477,±0.2,90674,81
Nevada,2012,98896,-0.2398008177408238,81094.72,±0.4,72991,19
Orange,2012,3073792,0.3363033381544057,2342229.504,*****,1881637,2175
Placer,2012,360512,-0.1891375122509222,275431.168,±0.1,243277,118
Riverside,2012,2239478,0.1747340722971883,1625861.028,*****,1228399,445
Sacramento,2012,1447519,0.0213670735185318,1087086.7689999999,*****,811630,290
San Bernardino,2012,2072061,0.1423128953997399,1487739.798,*****,1132833,344
San Diego,2012,3155715,0.3521681551978939,2433056.2649999997,*****,1931167,1967
San Francisco,2012,826354,-0.0989247746659627,715622.564,±0.1,354656,507
San Joaquin,2012,699719,-0.1234483041546549,498899.647,±0.1,382646,75
San Luis Obispo,2012,272951,-0.2060941574561133,221909.16299999997,±0.4,179353,82
San Mateo,2012,735915,-0.1164387596103133,575485.53,*****,510352,816
Santa Barbara,2012,427960,-0.1760758545974037,331241.04000000004,*****,252663,170
Santa Clara,2012,1833344,0.0960841009199189,1400674.816,*****,1140932,2511
Santa Cruz,2012,267492,-0.2071513213324411,212121.156,±0.1,167095,154
Shasta,2012,178865,-0.2243144030080783,139514.7,±0.3,117732,19
Solano,2012,418963,-0.17781817066176,320506.695,±0.1,257811,107
Sonoma,2012,488601,-0.1643324080642669,384528.987,±0.1,323367,238
Stanislaus,2012,521723,-0.1579181596832943,375640.56,±0.1,290325,40
Sutter,2012,94718,-0.2406099092732102,69238.858,*****,56491,4
Tulare,2012,449884,-0.1718301574322433,305471.23600000003,*****,230802,31
Ventura,2012,835510,-0.0971516674207425,627468.0099999999,±0.1,534659,491
Yolo,2012,204087,-0.2194300309090236,160412.38199999998,±0.4,109437,87
Yuba,2012,73501,-0.2447186921939002,52626.716,±0.3,40456,6
Alameda,2013,1575139,0.0460813534043998,1227033.281,*****,917322,3622
Butte,2013,224391,-0.2154980552092691,178390.845,±0.1,135830,69
Contra Costa,2013,1090305,-0.0478092842243803,827541.495,*****,698252,1929
El Dorado,2013,179663,-0.224159866138082,140676.129,±0.2,133050,212
Fresno,2013,953114,-0.0743770382740756,673851.5980000001,*****,503427,226
Humboldt,2013,135810,-0.2326522287445306,109055.43,±0.3,91760,54
Imperial,2013,177731,-0.2245340080338625,127077.665,±0.2,113063,15
Kern,2013,861948,-0.0920318105674077,604225.548,±0.1,459264,189
Kings,2013,150004,-0.229903486472943,108752.9,±0.1,71228,11
Lake,2013,65928,-0.2461852432170602,52544.616,±0.9,50061,24
Los Angeles,2013,9995638,1.6767549865706093,7626671.794,*****,5690003,13869
Madera,2013,150652,-0.2297779978867807,107716.18,±0.3,82070,27
Marin,2013,258815,-0.2088316677246184,205757.92500000002,±0.1,178103,946
Mendocino,2013,89320,-0.2416552601807789,69758.92,±0.3,67977,43
Merced,2013,263501,-0.2079241993376479,182342.692,±0.1,139433,39
Monterey,2013,425742,-0.1765053818876941,312068.886,±0.1,251527,211
Napa,2013,138808,-0.2320716503783041,107298.584,±0.2,94323,210
