Data Year,County,Population,Population Z Score,Adult Population,Average PM 2.5/County,Number of Site IDs/County,County Latitude,County Longitude,Number of Gas Cars,Number of EV
2011,Madera,151054,-0.3597327692314198,109363.0,20.465217391304346,2,37.01,-119.96,78711.0,5.0
2011,Marin,254256,-0.2880000094444807,202134.0,8.85,2,38.02,-122.64,173842.0,104.0
2011,Mendocino,87787,-0.40370785220888417,68386.0,8.551428571428572,2,39.26,-123.27,66083.0,3.0
2011,Merced,259183,-0.28457539260110315,178059.0,12.77727272727273,2,37.29,-120.45,133298.0,3.0
2011,Monterey,416582,-0.1751718475370111,304938.0,5.675,1,36.69,-121.62,241465.0,27.0
2011,Napa,136839,-0.3696132093427678,105503.0,10.8,1,38.31,-122.3,90281.0,24.0
2011,Nevada,99035,-0.3958896889748045,80813.0,5.254545454545454,2,39.32,-120.26,73187.0,4.0
2011,Orange,3037811,1.6467694927815737,2305699.0,12.6,2,33.8,-117.9,1873732.0,446.0
2011,Placer,354618,-0.21824125246557735,269510.0,14.08095238095238,1,38.75,-121.26,240320.0,35.0
2011,Riverside,2213474,1.0737964108210885,1598128.0,13.970873786407767,11,33.85,-117.23,1211549.0,99.0
2011,Sacramento,1431665,0.5303833258395273,1070885.0,10.8328125,3,38.59,-121.42,804508.0,101.0
2011,San Bernardino,2055566,0.9640390744086548,1465619.0,12.3578125,9,34.15,-117.34,1122878.0,66.0
2011,San Diego,3124985,1.7073616479885139,2403113.0,11.262962962962964,6,32.97,-117.07,1915640.0,781.0
2011,San Francisco,815714,0.10225339499007734,706408.0,10.105555555555556,1,37.77,-122.4,353737.0,163.0
2011,San Joaquin,692465,0.01658653862120408,492343.0,10.651388888888889,3,37.83,-121.31,379369.0,20.0
2011,San Luis Obispo,270396,-0.27678155686641825,221184.0,8.714925373134328,4,35.18,-120.61,178630.0,35.0
2011,San Mateo,726265,0.04007995232247481,565760.0,10.40952380952381,1,37.48,-122.2,504776.0,339.0
2011,Santa Barbara,424822,-0.16944445910806225,328387.0,9.100000000000001,3,34.67,-120.02,250966.0,79.0
2011,Santa Clara,1805407,0.7901607052342114,1373915.0,10.351724137931035,3,37.23,-121.85,1133618.0,861.0
2011,Santa Cruz,265364,-0.2802791562079802,210168.0,7.033333333333333,1,36.98,-121.99,166606.0,50.0
2011,Shasta,178218,-0.3408518494154045,138832.0,3.8642857142857143,4,40.6,-122.05,118743.0,9.0
2011,Solano,414084,-0.17690813592238902,314704.0,10.539130434782608,1,38.1,-122.24,255749.0,24.0
2011,Sonoma,485975,-0.12693875709404423,381004.0,10.93888888888889,1,38.44,-122.71,320561.0,78.0
2011,Stanislaus,517840,-0.10479030657360068,371809.0,17.45609756097561,2,37.6,-120.96,288060.0,17.0
2011,Sutter,94535,-0.39901751032556537,68727.0,10.261764705882353,1,39.14,-121.62,56564.0,0.0
2011,Tulare,445415,-0.1551308535355691,301546.0,16.304166666666667,3,36.26,-119.13,227483.0,13.0
2011,Ventura,830196,0.11231941916823718,620156.0,8.504166666666666,3,34.25,-118.88,531086.0,155.0
2011,Yolo,202769,-0.3237871511970643,157957.0,10.59,2,38.54,-121.77,109944.0,33.0
2012,Alameda,1549193,0.6120736786644665,1206821.0,7.386440677966102,3,37.74,-122.03,884729.0,1168.0
2012,Butte,222623,-0.30998720339750724,176985.0,13.653571428571428,4,39.64,-121.7,132130.0,28.0
2012,Contra Costa,1075165,0.2825903677181363,816050.0,6.66875,1,37.94,-122.03,673659.0,632.0
2012,El Dorado,180121,-0.33952912851973827,141035.0,4.066666666666666,1,38.98,-120.1,128462.0,68.0
2012,Fresno,945656,0.19257236431464897,668579.0,12.057009345794391,7,36.69,-119.88,486872.0,76.0
2012,Humboldt,135888,-0.3702742222548953,109118.0,5.842307692307693,3,40.73,-124.19,89315.0,21.0
2012,Imperial,177599,-0.3412820986189869,126983.0,12.291304347826086,3,32.79,-115.52,109630.0,4.0
2012,Kern,853585,0.12857644440666977,598363.0,11.606542056074767,6,35.2,-118.81,445574.0,62.0
2012,Kings,151242,-0.35960209580609914,109650.0,13.989473684210527,1,36.32,-119.64,69583.0,3.0
2012,Lake,65573,-0.4191481685390625,52262.0,7.566666666666666,1,39.03,-122.92,48721.0,10.0
2012,Los Angeles,9937750,6.442719831258859,7582503.0,12.476050420168068,14,34.08,-118.25,5530860.0,4734.0
2012,Madera,151155,-0.3596625670188805,108076.0,10.209677419354838,2,37.13,-119.81,79537.0,14.0
2012,Marin,257096,-0.2860260066364449,204391.0,6.334782608695652,2,38.01,-122.6,173364.0,316.0
2012,Mendocino,88402,-0.40328038329094684,69042.0,6.2625,2,39.3,-123.29,66050.0,18.0
2012,Merced,261779,-0.2827709872174197,181151.0,9.981818181818182,2,37.29,-120.44,135154.0,16.0
2012,Monterey,422477,-0.1710744015675143,309676.0,5.7250000000000005,3,36.47,-121.5,243736.0,76.0
2012,Napa,138249,-0.3686331586528627,106866.0,10.3,1,38.31,-122.3,90674.0,81.0
2012,Nevada,98896,-0.3959863039009724,81095.0,5.816666666666666,2,39.3,-120.4,72991.0,19.0
2012,Orange,3073792,1.6717788572308465,2342230.0,10.886363636363637,2,33.8,-117.9,1881637.0,2175.0
2012,Placer,360512,-0.21414450156749185,275431.0,8.015384615384615,2,38.82,-121.2,243277.0,118.0
2012,Riverside,2239478,1.0918710478000186,1625861.0,11.811111111111112,11,33.85,-117.21,1228399.0,445.0
2012,Sacramento,1447519,0.5414029879939636,1087087.0,6.877586206896551,3,38.59,-121.44,811630.0,290.0
2012,San Bernardino,2072061,0.9755042773377216,1487740.0,10.65,9,34.18,-117.31,1132833.0,344.0
2012,San Diego,3155715,1.7287211924571544,2433056.0,10.775,9,33.02,-117.06,1931167.0,1967.0
2012,San Francisco,826354,0.10964895480609865,715623.0,9.200000000000001,1,37.77,-122.4,354656.0,507.0
