Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
08/26/2017,AQS,60231004,1,17.5,ug/m3 LC,67,Jacobs,1,100.0,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,21700.0,"Eureka-Arcata-Fortuna, CA",6,California,23,Humboldt,40.7767800009332,-124.17949
01/14/2017,AQS,60530008,3,4.2,ug/m3 LC,23,King City 2,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41500.0,"Salinas, CA",6,California,53,Monterey,36.2092860008996,-121.126371
03/08/2017,AQS,60850005,3,7.5,ug/m3 LC,42,San Jose - Jackson,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/28/2017,AQS,60190500,1,4.3,ug/m3 LC,24,Table Mountain Air Monitoring Site,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,23420.0,"Fresno, CA",6,California,19,Fresno,36.9851185574381,-119.658339349936
12/03/2017,AQS,60719010,1,2.1,ug/m3 LC,12,,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,San Bernardino,34.1939253249244,-116.914063106369
11/03/2017,AQS,61110007,3,6.4,ug/m3 LC,36,Thousand Oaks,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,37100.0,"Oxnard-Thousand Oaks-Ventura, CA",6,California,111,Ventura,34.210169,-118.870509
05/01/2017,AQS,60719004,1,11.2,ug/m3 LC,55,San Bernardino,1,100.0,88101,PM2.5 - Local Conditions,155,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,San Bernardino,34.1066780008763,-117.274063
10/06/2017,AQS,60376012,3,5.7,ug/m3 LC,32,Santa Clarita,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731,Met-One BAM-1020 W/PM2.5 SCC,31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.38344,-118.5284
10/07/2017,AQS,60311004,3,18.2,ug/m3 LC,68,Hanford-Irwin,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,25260.0,"Hanford-Corcoran, CA",6,California,31,Kings,36.31567,-119.643447
03/16/2017,AQS,60270002,1,4.1,ug/m3 LC,23,White Mountain Research Center - Owens Valley Lab,1,100.0,88101,PM2.5 - Local Conditions,181,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC,13860.0,"Bishop, CA",6,California,27,Inyo,37.360684,-118.330783
04/04/2017,AQS,61111004,3,11.1,ug/m3 LC,55,Ojai - East Ojai Ave,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,37100.0,"Oxnard-Thousand Oaks-Ventura, CA",6,California,111,Ventura,34.44806,-119.2313
05/25/2017,AQS,60374008,1,4.1,ug/m3 LC,23,Long Beach-Route 710 Near Road,1,100.0,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,33.8596620008734,-118.200707
01/01/2017,AQS,60371201,1,9.7,ug/m3 LC,52,Reseda,1,100.0,88101,PM2.5 - Local Conditions,155,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC,31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.19925,-118.53276
02/17/2017,AQS,60811001,3,1.3,ug/m3 LC,7,Redwood City,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,81,San Mateo,37.482934,-122.20337
05/20/2017,AQS,60450006,3,4.0,ug/m3 LC,22,Ukiah-Library,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,46380.0,"Ukiah, CA",6,California,45,Mendocino,39.15047,-123.20655
