Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/28/2024,AQS,60290014,3,1.1,ug/m3 LC,6,Bakersfield-California,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731.0,Met-One BAM-1020 W/PM2.5 SCC,12540.0,"Bakersfield, CA",6,California,29,Kern,35.356615,-119.062613
05/10/2024,AirNow,60731022,3,12.3,ug/m3 LC,57,El Cajon - Lexington Elementary School,1,100.0,88101,PM2.5 - Local Conditions,,,41740.0,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.7895650008594,-116.944308
06/03/2024,AirNow,60731006,3,9.5,ug/m3 LC,52,Alpine,1,100.0,88101,PM2.5 - Local Conditions,,,41740.0,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.8423180008601,-116.768293
01/20/2024,AQS,60658005,3,20.5,ug/m3 LC,72,Mira Loma (Van Buren),1,100.0,88101,PM2.5 - Local Conditions,170.0,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,Riverside,33.996360000875,-117.4924
07/26/2024,AirNow,60311004,3,8.2,ug/m3 LC,46,Hanford-Irwin,1,100.0,88101,PM2.5 - Local Conditions,,,25260.0,"Hanford-Corcoran, CA",6,California,31,Kings,36.31567,-119.643447
01/03/2024,AirNow,60292009,3,3.4,ug/m3 LC,19,Lebec,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,,,12540.0,"Bakersfield, CA",6,California,29,Kern,34.841567,-118.860588
02/03/2024,AirNow,60731006,3,3.7,ug/m3 LC,21,Alpine,1,100.0,88101,PM2.5 - Local Conditions,,,41740.0,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.8423180008601,-116.768293
07/31/2024,AirNow,60710306,1,9.7,ug/m3 LC,52,Victorville-Park Avenue,1,100.0,88101,PM2.5 - Local Conditions,,,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,71,San Bernardino,34.5109611108812,-117.32554
09/13/2024,AirNow,60131004,3,15.2,ug/m3 LC,62,San Pablo,1,100.0,88101,PM2.5 - Local Conditions,,,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.9604,-122.356811
05/27/2024,AirNow,60731016,3,6.8,ug/m3 LC,38,San Diego - Kearny Villa Rd.,1,100.0,88101,PM2.5 - Local Conditions,,,41740.0,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.8457090008602,-117.123964
